Package                           Size (KB)        Status
unity-scope-colourlovers              78        installed
unity-scope-chromiumbookmarks         78        installed
unity-scope-zotero                    78        installed
gir1.2-dee-1.0                        78        installed
libeot0                               78        installed
python3-ptyprocess                    79        installed
libgusb2                              79        installed
python3-jwt                           79        installed
libdebian-installer4                  79        installed
iputils-arping                        79        installed
libmtdev1                             79        installed
geoclue-ubuntu-geoip                  79        installed
libheimntlm0-heimdal                  79        installed
libxrender1                           79        installed
libdevmapper-event1.02.1              79        installed
libxcursor1                           79        installed
libgtk2.0-bin                         80        installed
libspectre1                           80        installed
libsoup-gnome2.4-1                    80        installed
libsignon-plugins-common1             80        installed
libyajl2                              81        installed
libquvi7                              81        installed
kpartx                                81        installed
libfcitx-gclient0                     82        installed
libnotify4                            82        installed
ibus-gtk                              82        installed
qml-module-qtquick-window2            82        installed
gir1.2-gnomekeyring-1.0               82        installed
ibus-gtk3                             82        installed
libgpm2                               83        installed
efibootmgr                            83        installed
libltdl7                              83        installed
libgcab-1.0-0                         83        installed
libgnome-keyring-common               84        installed
libdrm-radeon1                        84        installed
libtimezonemap1                       84        installed
qtdeclarative5-ubuntu-ui-toolkit-plugin     84        installed
libcogl-pango20                       84        installed
gir1.2-goa-1.0                        84        installed
qml-module-qtfeedback                 85        installed
libdata-alias-perl                    85        installed
jayatana                              85        installed
signon-keyring-extension              85        installed
libunity-gtk3-parser0                 85        installed
libcap2-bin                           85        installed
python3-aptdaemon.gtk3widgets         86        installed
libnss3-nssdb                         86        installed
xauth                                 86        installed
libcomerr2                            86        installed
fonts-lohit-guru                      87        installed
libsignon-extension1                  87        installed
libxi6                                87        installed
pinentry-gnome3                       87        installed
libjson-c2                            87        installed
libdouble-conversion1v5               87        installed
libthai0                              87        installed
libfile-copy-recursive-perl           88        installed
qtdeclarative5-unity-action-plugin     88        installed
libxcb-randr0                         88        installed
libhtml-form-perl                     88        installed
libgtop2-common                       88        installed
libwayland-server0                    89        installed
libunity-gtk2-parser0                 89        installed
systemd-sysv                          90        installed
irqbalance                            90        installed
qml-module-qt-labs-settings           90        installed
libiw30                               90        installed
libfcgi-perl                          91        installed
libmediaart-2.0-0                     92        installed
libraw1394-11                         92        installed
libieee1284-3                         92        installed
acpi-support                          92        installed
libindicator3-7                       93        installed
libjbig0                              93        installed
libio-pty-perl                        94        installed
hwdata                                94        installed
overlay-scrollbar-gtk2                94        installed
libunity-misc4                        95        installed
libiec61883-0                         95        installed
libreoffice-avmedia-backend-gstreamer     95        installed
python3-renderpm                      96        installed
network-manager-pptp                  96        installed
libatk1.0-data                        96        installed
libbind9-140                          96        installed
libspeexdsp1                          96        installed
libgoa-1.0-common                     96        installed
libqt5feedback5                       97        installed
libpci3                               97        installed
usbmuxd                               97        installed
unity-lens-video                      97        installed
libxtables11                          97        installed
libgail18                             98        installed
libss2                                98        installed
remmina-plugin-rdp                    98        installed
whoopsie                              98        installed
libgnutls-openssl27                   98        installed
libatasmart4                          99        installed
libappindicator3-1                    99        installed
xserver-xorg-input-evdev              99        installed
fcitx-frontend-qt5                    99        installed
python3-padme                         99        installed
libassuan0                           100        installed
liblwp-mediatypes-perl               100        installed
indicator-appmenu                    100        installed
libdrm2                              100        installed
xdg-user-dirs-gtk                    100        installed
libexporter-tiny-perl                100        installed
libnet-domain-tld-perl               101        installed
update-inetd                         101        installed
libtinyxml2.6.2v5                    101        installed
os-prober                            101        installed
gir1.2-gtksource-3.0                 101        installed
syslinux-legacy                      102        installed
qmlscene                             102        installed
qtchooser                            102        installed
libtalloc2                           102        installed
libavahi-common3                     102        installed
libfwupd1                            102        installed
gir1.2-udisks-2.0                    103        installed
libcc1-0                             103        installed
libsbc1                              103        installed
gir1.2-wnck-3.0                      103        installed
fcitx-frontend-qt4                   104        installed
libdconf1                            104        installed
mtr-tiny                             104        installed
libgphoto2-l10n                      104        installed
libtotem-plparser-common             104        installed
libclass-accessor-perl               104        installed
fuse                                 104        installed
libklibc                             105        installed
libavahi-ui-gtk3-0                   105        installed
libgcc1                              105        installed
cups-bsd                             106        installed
libheimbase1-heimdal                 106        installed
libxpm4                              106        installed
time                                 106        installed
python3-guacamole                    106        installed
libhud2                              107        installed
libwnck-3-common                     108        installed
libtdb1                              108        installed
compiz                               108        installed
appmenu-qt                           108        installed
avahi-autoipd                        109        installed
intltool-debian                      109        installed
libbz2-1.0                           109        installed
initramfs-tools-bin                  109        installed
netcat-openbsd                       109        installed
libhangul1                           110        installed
sensible-utils                       110        installed
libboost-date-time1.58.0             110        installed
init-system-helpers                  110        installed
libsensors4                          111        installed
mime-support                         111        installed
dconf-gsettings-backend              111        installed
libdbusmenu-gtk4                     111        installed
libtasn1-6                           111        installed
tcpd                                 111        installed
libdbusmenu-gtk3-4                   111        installed
libuuid1                             112        installed
nautilus-sendto                      112        installed
logrotate                            113        installed
libbabeltrace1                       113        installed
python3-software-properties          113        installed
iputils-tracepath                    113        installed
liblwres141                          113        installed
sgml-base                            113        installed
python3-httplib2                     113        installed
system-config-printer-udev           114        installed
speech-dispatcher-audio-plugins      114        installed
bzip2                                114        installed
libfcitx-utils0                      114        installed
libpulse-mainloop-glib0              114        installed
printer-driver-pxljr                 114        installed
popularity-contest                   115        installed
libcanberra0                         115        installed
fcitx-module-dbus                    115        installed
geoclue                              115        installed
libnautilus-extension1a              116        installed
libgtkspell3-3-0                     116        installed
thunderbird-gnome-support            116        installed
liblz4-1                             116        installed
fcitx-module-cloudpinyin             116        installed
libgnomekbd-common                   116        installed
libavahi-common-data                 116        installed
language-selector-gnome              117        installed
printer-driver-min12xxw              117        installed
dconf-cli                            117        installed
libmessaging-menu0                   118        installed
libspeex1                            118        installed
libshout3                            118        installed
libkmod2                             118        installed
libfribidi0                          118        installed
thunderbird-locale-en-us             119        installed
thunderbird-locale-pt-br             119        installed
libevdev2                            119        installed
qml-module-ubuntu-web                119        installed
libcolorhug2                         119        installed
thunderbird-locale-es-es             119        installed
thunderbird-locale-zh-cn             119        installed
thunderbird-locale-pt-pt             119        installed
libxmu6                              119        installed
thunderbird-locale-es-ar             119        installed
thunderbird-locale-en-gb             119        installed
thunderbird-locale-zh-tw             119        installed
libfont-afm-perl                     120        installed
libcogl-path20                       120        installed
python3-minimal                      120        installed
libwrap0                             121        installed
libavahi-client3                     121        installed
pcmciautils                          121        installed
libusb-1.0-0                         122        installed
libqt4-dbus                          122        installed
libxext6                             122        installed
libfcitx-config4                     123        installed
initramfs-tools                      123        installed
libfile-fcntllock-perl               123        installed
libatm1                              123        installed
libgbm1                              124        installed
libunity-control-center1             124        installed
